Ticker_Symbol,Company_Name,Last_Sale,Market_Capitalization,ADR_TSO,IPO_Year,Sector,Industry,Summary_Quote
DDD,3D Systems Corporation,7,827065897,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,161.72,93034127966,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,9.25,397521247.5,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,53.79,7997253101,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,24.31,2413679319,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,3.57,76625241.21,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,46.52,7648046959,n/a,n/a,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",6.94,531292352.4,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",0.6,15181140.6,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,42.96,1506476902,n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",64.11,4330470033,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,19.02,40566283208,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,85.32,1.51E+11,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,65.74,97195527510,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,14.62,960358472.3,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,9.34,117213086.5,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,6.04,515864024,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,11.98,156627382.6,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.01,93975302.92,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,8.02,845957604,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,37.26,2472485778,n/a,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,27.35,2309788046,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
ACN,Accenture plc,198.17,1.26E+11,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,9.27,907586154.2,n/a,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",16.15,41682504,n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,22.21,1364978427,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
AYI,"Acuity Brands, Inc. ",125.41,5003743121,n/a,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,25.97,1957247930,n/a,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",15.49,1636594293,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",15.1,445642766.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,5.58,657205804.4,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
ADNT,Adient plc,20.17,1888329801,n/a,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADT,ADT Inc.,4.76,3521884516,n/a,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,42.72,2362544160,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,137.95,9847835271,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",32.42,2883225464,n/a,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",31.39,1815732640,n/a,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,22.34,621404592.2,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
AVK,Advent Convertible and Income Fund,14.31,494055926.8,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk
ACM,AECOM,35.48,5596144345,n/a,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
AEB,Aegon NV,23.01,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AEG,Aegon NV,3.78,7614777912,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.9,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AER,Aercap Holdings N.V.,53.62,7324652109,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",52.23,4109252807,n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AMG,"Affiliated Managers Group, Inc.",76.63,3880509023,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
MGR,"Affiliated Managers Group, Inc.",26.82,0,n/a,2019,Finance,Investment Managers,https://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,50.18,37152435750,n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",14.99,490707693.3,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.8,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",26.02,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,69.12,5269727532,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",71.11,22044100000,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,62.59,14914180476,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,74.69,3134531886,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AL,Air Lease Corporation,41.54,4639023117,n/a,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
AL^A,Air Lease Corporation,27.4,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/al^a
APD,"Air Products and Chemicals, Inc.",225.92,49782633003,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,21.85,1637674914,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,2.16,683391314.9,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
ALP^Q,Alabama Power Company,26.92,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",114.18,1349399678,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,7.05,2757071298,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",59.72,7361818949,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,82.22,2655706000,n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,61.73,6542532077,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,17.93,3327043160,n/a,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
ALC,Alcon Inc.,60.96,29791152000,n/a,2019,Health Care,Ophthalmic Goods,https://www.nasdaq.com/symbol/alc
ALEX,"Alexander & Baldwin, Inc.",22.89,1653613818,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",377.57,1928359485,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",149.84,16994479848,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",39.17,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
AQN,Algonquin Power & Utilities Corp.,13.07,6477373769,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,27.57,0,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,27.86,0,n/a,2019,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqnb
BABA,Alibaba Group Holding Limited,175.03,4.56E+11,n/a,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,749.31,10812683421,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,19.82,2498888079,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,96.27,8989340637,n/a,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,159.72,52393385240,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
ALE,"Allete, Inc.",85.73,4428429530,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
ADS,Alliance Data Systems Corporation,122.95,6282451027,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.95,400991857.2,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb
AWF,Alliance World Dollar Government Fund II,11.66,1005438034,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,28.28,2729711418,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.37,171068202.4,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,5.56,500451841.4,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv
NCV^A,AllianzGI Convertible & Income Fund,26.2172,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncv^a
NCZ,AllianzGI Convertible & Income Fund II,4.98,378118900.2,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz
NCZ^A,AllianzGI Convertible & Income Fund II,26.04,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncz^a
ACV,AllianzGI Diversified Income & Convertible Fund,23.2,239640363.2,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,21.46,594634388.9,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.11,1148047146,n/a,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj
ALSN,"Allison Transmission Holdings, Inc.",44.43,5354147825,n/a,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),102.39,33705947583,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),25.42,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),26.66,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b
ALL^D,Allstate Corporation (The),26.77,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),25.42,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),25.7,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f
ALL^G,Allstate Corporation (The),27.31,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^g
ALL^H,Allstate Corporation (The),26.26,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^h
ALLY,Ally Financial Inc.,31.35,12239520627,n/a,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,26.2,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a
AYX,"Alteryx, Inc.",142.45,9259214388,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx
ATUS,"Altice USA, Inc.",28.88,18706486153,n/a,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus
MO,Altria Group,43.74,81710514185,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,7.36,5011474916,n/a,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
ABEV,Ambev S.A.,4.54,71397273672,n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",11.11,1153771956,n/a,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc
AMCR,Amcor plc,9.82,15943060701,n/a,2019,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/amcr
AEE,Ameren Corporation,77.15,19546147535,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",14.4,668345673.6,n/a,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc
AMOV,"America Movil, S.A.B. de C.V.",14.45,47690967966,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
AMX,"America Movil, S.A.B. de C.V.",14.62,48252038177,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",46.86,2798580324,n/a,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
AXL,"American Axle & Manufacturing Holdings, Inc.",6.34,713096724.2,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,46.48,6386461646,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",16.82,2896809850,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",91.15,45009424368,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",56.38,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aep^b
AEL,American Equity Investment Life Holding Company,21.55,1960601415,n/a,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael
AXP,American Express Company,120.37,99867821704,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp
AFG,"American Financial Group, Inc.",100.97,9081431018,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",27.25,0,n/a,2019,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgb
AFGE,"American Financial Group, Inc.",25.92,0,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",26.04,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
AMH,American Homes 4 Rent,25.58,7686097396,n/a,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh
AMH^D,American Homes 4 Rent,27.65,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,27.65,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,26.14,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f
AMH^G,American Homes 4 Rent,26.83,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g
AMH^H,American Homes 4 Rent,27.71,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^h
AIG,"American International Group, Inc.",52.04,45270028036,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws
AIG^A,"American International Group, Inc.",27.49,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig^a
ARL,"American Realty Investors, Inc.",11.59,185406110.8,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",6.2,201605803,n/a,2016,Health Care,Misc Health and Biotechnology Services,https://www.nasdaq.com/symbol/ara
AWR,American States Water Company,92.53,3408052654,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),230.19,1.02E+11,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt
AVD,American Vanguard Corporation,14.17,427932115.4,n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd
AWK,American Water Works,127.32,23000699345,n/a,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
COLD,Americold Realty Trust,36.42,6980229885,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",128.98,16879659291,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),82.27,17138938967,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,0.5715,23065554.26,n/a,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,58.4,2725071254,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn
AMRX,"Amneal Pharmaceuticals, Inc.",2.55,762682725.8,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrx
AP,Ampco-Pittsburgh Corporation,3.59,45379488.34,n/a,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,87.54,26038613502,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph
AXR,AMREP Corporation,5.36,43613805.44,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr
HKIB,AMTD International Inc.,9,2075968845,n/a,2019,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/hkib
AME,"AMTEK, Inc.",85.93,19621755797,n/a,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame
PLAN,"Anaplan, Inc.",54.33,7017420194,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/plan
FINS,Angel Oak Financial Strategies Income Term Trust,20.38,219085000,n/a,2019,n/a,n/a,https://www.nasdaq.com/symbol/fins
AU,AngloGold Ashanti Limited,22.75,9433434329,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,94.5,1.85E+11,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,59.97,2022405252,n/a,n/a,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,8.3,12086986303,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly
NLY^D,Annaly Capital Management Inc,25.23,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d
NLY^F,Annaly Capital Management Inc,25.67,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f
NLY^G,Annaly Capital Management Inc,24.73,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g
NLY^I,Annaly Capital Management Inc,25.4,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^i
AM,Antero Midstream Corporation,7.11,3604035110,n/a,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,3.17,980233714.6,n/a,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",261.52,66901315190,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm
ANH,Anworth Mortgage Asset  Corporation,3.1,306157202.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,25.71,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,20.3268,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,25.39,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c
AON,Aon plc,194.85,45953791487,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon
APA,Apache Corporation,21.57,8109435134,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,51,7593094149,n/a,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv
APY,Apergy Corporation,25.98,2012406799,n/a,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/apy
APHA,Aphria Inc.,6.26,1571504891,n/a,2018,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/apha
ARI,Apollo Commercial Real Estate Finance,18.55,2848011124,n/a,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari
APO,"Apollo Global Management, LLC",37.73,15206458860,n/a,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, LLC",26.11,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a
APO^B,"Apollo Global Management, LLC",26.44,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b
AFT,Apollo Senior Floating Rate Fund Inc.,14.46,225186462.1,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,14.65,211897980.9,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",15.93,3566236197,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",53.39,2060701091,n/a,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",122.22,7827119986,n/a,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr
APTV,Aptiv PLC,83.17,21307551600,n/a,2011,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv
WTR,"Aqua America, Inc.",44.29,9556759255,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtr
WTRU,"Aqua America, Inc.",60.17,0,n/a,2019,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtru
AQ,Aquantia Corp.,13.18,475604688.9,n/a,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq
WAAS,AquaVenture Holdings Limited,17.68,560761952.4,n/a,2016,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/waas
ARMK,Aramark,40.86,10088683557,n/a,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,12.55,1183980579,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.8881,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.68,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,26.38,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^c
ARC,"ARC Document Solutions, Inc.",1.39,64032298.78,n/a,2004,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/arc
MT,ArcelorMittal,14.37,14542492063,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/mt
ARCH,"Arch Coal, Inc.",76.56,1245022165,n/a,2016,Energy,Coal Mining,https://www.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,38.05,21192862945,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",9.71,1475690339,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/aroc
ARNC,Arconic Inc.,25.84,11374467326,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/arnc
ARCO,Arcos Dorados Holdings Inc.,6.61,1348898437,n/a,2011,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arco
ACA,"Arcosa, Inc.",32.49,1572087554,n/a,2018,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/aca
RCUS,"Arcus Biosciences, Inc.",7.81,358082166.1,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rcus
ARD,Ardagh Group S.A.,16.73,3954135500,n/a,2017,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/ard
ASC,Ardmore Shipping Corporation,6.24,206530465.4,n/a,2013,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,26.36,210880000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afc
